Feature,Type,Min,Max,Mean,Std,Missing
TEI,float64,43.36,62.03,52.22,3.44,0
TEO,float64,39.54,52.07,45.72,2.64,0
TCI,float64,62.15,88.65,75.51,7.37,0
TCO,float64,65.1,96.5,81.76,8.07,0
kW,float64,27.66,85.04,54.72,15.02,0
TEA,float64,0.0,12.0,5.88,1.59,0
TCA,float64,0.0,10.9,4.11,1.85,0
TRE,float64,35.0,49.2,39.75,1.82,0
TRC,float64,53.6,104.2,85.67,8.7,0
TRC_sub,float64,0.0,14.5,6.8,2.48,0
T_suc,float64,36.7,50.8,43.92,2.74,0
Tsh_suc,float64,0.0,9.0,4.17,1.28,0
TR_dis,float64,79.3,155.7,121.68,11.02,0
Tsh_dis,float64,0.2,76.7,36.02,12.65,0
TO_sump,float64,109.0,123.2,114.74,2.93,0
PO_net,float64,76.8,152.4,103.22,8.51,0
