TEI,TEO,TCI,TCO,kW,TEA,TCA,TRE,TRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,TO_sump,PO_net,label,fault_name,fault_short,is_fault
60.68,50.68,85.49,94.95,82.55,8.0,3.5,42.4,98.5,7.8,47.0,4.6,123.7,25.2,112.0,105.7,1,Normal,Normal,0
60.68,50.63,85.49,94.95,82.39,8.0,3.9,42.3,98.7,7.7,47.2,4.9,124.0,25.3,112.0,103.4,1,Normal,Normal,0
60.64,50.59,85.49,94.95,82.43,8.0,3.7,42.4,98.5,7.8,47.0,4.6,124.0,25.2,112.2,104.7,1,Normal,Normal,0
60.6,50.55,85.49,94.95,82.62,7.7,3.7,42.4,98.5,8.0,47.2,4.6,124.0,25.2,112.2,104.7,1,Normal,Normal,0
60.56,50.51,85.45,94.95,82.38,7.9,3.9,42.4,98.5,8.0,47.0,4.7,124.0,25.5,112.4,104.0,1,Normal,Normal,0
60.52,50.51,85.49,94.95,82.36,7.9,3.9,42.4,98.7,7.9,47.0,4.6,124.0,25.3,112.4,103.5,1,Normal,Normal,0
60.52,50.47,85.45,94.95,82.59,7.9,3.7,42.3,98.5,7.8,46.8,4.6,124.0,25.5,112.7,104.9,1,Normal,Normal,0
60.48,50.43,85.45,94.95,82.5,8.0,3.6,42.3,98.2,7.8,46.8,4.4,124.0,25.8,112.4,105.4,1,Normal,Normal,0
60.43,50.43,85.41,94.91,82.44,7.9,3.9,42.4,98.7,7.7,46.8,4.4,124.0,25.5,112.7,104.7,1,Normal,Normal,0
60.43,50.39,85.41,94.91,82.68,7.7,3.7,42.3,98.7,8.0,46.8,4.4,123.7,25.3,112.7,106.9,1,Normal,Normal,0
60.43,50.39,85.41,94.95,82.43,8.0,4.1,42.1,98.7,8.0,46.8,4.5,123.7,25.0,112.9,104.0,1,Normal,Normal,0
60.39,50.35,85.41,94.95,82.53,7.8,3.7,42.3,98.5,8.0,46.8,4.5,123.7,25.0,112.9,105.4,1,Normal,Normal,0
60.35,50.35,85.41,94.91,82.7,7.8,3.9,42.3,98.5,7.7,46.8,4.5,123.7,25.2,112.9,105.0,1,Normal,Normal,0
60.35,50.31,85.41,94.91,82.68,7.8,4.1,42.3,98.7,7.8,46.8,4.7,124.0,25.0,112.9,104.3,1,Normal,Normal,0
60.35,50.27,85.41,94.87,82.61,7.8,3.9,42.3,98.7,7.7,46.8,4.5,123.7,25.5,113.1,104.2,1,Normal,Normal,0
60.35,50.31,85.41,94.91,82.55,7.8,3.7,42.3,98.7,8.0,46.8,4.5,124.0,25.3,113.1,104.9,1,Normal,Normal,0
60.27,50.27,85.41,94.91,82.45,8.1,4.1,42.0,98.5,7.8,46.8,4.7,123.7,25.5,113.1,103.8,1,Normal,Normal,0
60.27,50.22,85.41,94.87,82.29,7.9,3.7,42.1,98.5,7.8,46.8,4.7,124.0,25.2,113.3,104.8,1,Normal,Normal,0
60.27,50.27,85.37,94.87,82.27,7.8,3.4,42.3,98.5,7.8,46.8,4.5,124.0,25.5,113.1,105.0,1,Normal,Normal,0
60.27,50.27,85.37,94.83,82.28,7.9,3.9,42.0,98.5,7.8,46.8,4.7,124.0,25.5,113.3,103.7,1,Normal,Normal,0
60.23,50.27,85.37,94.83,82.38,7.8,3.7,42.3,98.5,7.8,46.8,4.5,123.7,25.5,113.1,105.8,1,Normal,Normal,0
60.27,50.22,85.41,94.87,82.46,8.0,3.9,42.1,98.7,7.8,46.8,4.7,124.0,25.2,113.3,106.0,1,Normal,Normal,0
60.23,50.22,85.37,94.87,82.38,8.0,3.9,42.3,98.5,7.8,46.8,4.7,124.0,25.2,113.6,104.5,1,Normal,Normal,0
60.27,50.22,85.37,94.83,82.38,8.0,4.1,42.1,98.7,8.0,46.8,4.5,124.0,25.3,113.6,105.0,1,Normal,Normal,0
60.27,50.22,85.37,94.83,82.49,7.9,3.9,42.1,98.5,7.5,46.8,4.5,124.0,25.8,113.6,104.8,1,Normal,Normal,0
60.23,50.22,85.33,94.83,82.54,8.0,3.7,42.1,98.5,8.0,46.8,4.7,124.0,25.5,113.6,103.2,1,Normal,Normal,0
60.23,50.22,85.33,94.83,82.52,8.0,3.9,42.1,98.5,8.0,46.8,4.7,123.7,25.5,113.6,102.9,1,Normal,Normal,0
60.23,50.18,85.33,94.83,82.48,8.0,3.7,42.0,98.5,7.8,46.8,4.7,124.0,25.2,113.8,105.5,1,Normal,Normal,0
60.23,50.22,85.33,94.83,82.35,8.1,3.4,42.0,98.5,7.8,46.8,4.8,123.7,25.2,113.8,103.9,1,Normal,Normal,0
60.23,50.18,85.33,94.83,82.36,8.1,3.9,42.0,98.5,8.2,46.8,4.8,124.0,25.2,113.6,104.4,1,Normal,Normal,0
60.23,50.22,85.33,94.83,82.27,8.1,3.9,42.0,98.5,7.8,46.8,4.7,124.0,25.2,113.8,105.0,1,Normal,Normal,0
60.23,50.22,85.33,94.78,82.42,7.9,3.4,42.0,98.7,8.2,46.8,4.7,124.0,25.3,114.0,105.5,1,Normal,Normal,0
60.19,50.22,85.33,94.83,82.38,7.9,3.9,42.1,98.7,8.0,46.8,4.7,123.7,25.3,114.0,105.8,1,Normal,Normal,0
60.23,50.22,85.37,94.83,82.16,8.0,4.1,42.1,98.7,8.0,46.8,4.7,124.0,25.2,113.8,105.5,1,Normal,Normal,0
60.23,50.22,85.37,94.83,82.03,8.3,3.9,42.0,98.7,8.0,46.8,5.0,124.0,25.3,114.0,104.0,1,Normal,Normal,0
60.23,50.22,85.33,94.83,81.88,8.0,3.6,42.1,98.2,8.0,46.8,4.8,124.0,25.8,113.8,106.4,1,Normal,Normal,0
60.19,50.22,85.33,94.83,82.19,8.1,3.9,42.0,98.5,7.8,46.8,4.8,124.0,25.2,114.0,105.5,1,Normal,Normal,0
60.23,50.27,85.37,94.78,82.08,8.3,3.9,41.8,98.5,8.0,46.8,5.0,124.0,25.7,114.2,105.2,1,Normal,Normal,0
